Name,Vendor,Catalog Number,Size,Quantity,Package Quantity,fractional package per bot,Link,price,extended price,Notes,Amount Ordered,Order Number
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A197,M4 25mm,,100,0,https://www.mcmaster.com/screws/rounded-head-screws/thread-size~m4/hex-drive-rounded-head-screws/,,0,,500,S2798790
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A198,m4 30mm,11,100,0.11,https://www.mcmaster.com/screws/rounded-head-screws/thread-size~m4/hex-drive-rounded-head-screws/,,0,Button Head Screws,500,S2798790
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A205,m4 45mm,5,100,0.05,https://www.mcmaster.com/screws/rounded-head-screws/thread-size~m4/hex-drive-rounded-head-screws/,,0,Button Head Screws,500,S2798790
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A179,m3 6mm,6,100,0.06,https://www.mcmaster.com/screws/rounded-head-screws/hex-drive-rounded-head-screws/thread-size~m3/,,,,,
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A182,m3 10mm,9,100,0.09,https://www.mcmaster.com/screws/rounded-head-screws/hex-drive-rounded-head-screws/thread-size~m3/,,,,,
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A104,m2 10mm,1,50,0.02,https://www.mcmaster.com/screws/rounded-head-screws/hex-drive-rounded-head-screws/thread-size~m2/,,,,,
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A106,m2 20mm,2,25,0.08,https://www.mcmaster.com/screws/rounded-head-screws/hex-drive-rounded-head-screws/thread-size~m2/,,,,,
Metric 18-8 Stainless Steel Hex Nuts,McMaster-Carr,91828A231,M4-.7 x 7 x 3.2mm,,100,0,https://www.mcmaster.com/catalog/126/3380,,0,,500,S2798790
18-8 Stainless Steel Nylon-Insert Locknutes,McMaster-Carr,93625A150,M4-.7 x 7 x 5mm,,100,0,https://www.mcmaster.com/catalog/126/3391,,0,Button Head Screws,500,S2798790
Wiring Cowl,UW Sheet Metal Shop,,,1,,,,200,200,$150-200; Jason will order,,
3 inch  (5/32 inch) rod,Speedy Metals,,,2,1,2,https://www.speedymetals.com/p-1085-532-rd-303-stainless-steel-cold-finished-annealed.aspx,0.23,0.46,,10,1142785
"1/8"" x 1 1/4"" Dowel Pin Hardened and Ground Alloy Steel Bright Finish Pk 100",Amazon,B07CVMRYLH,Pack of 100,50,100,0.5,https://www.amazon.com/Dowel-Hardened-Ground-Bright-Finish/dp/B07CVMRYLH,43.6,2180,,3,1137307
"2020 Series Aluminum Profile Connector Set, 20pcs Corner Bracket",Amazon,B07P9H8FW1,Assorted,1,20,0.05,https://www.amazon.com/KOOTANS-Accessories-Brackets-Connector-Aluminum/dp/B07P9H8FW1/ref=sr_1_14?dchild=1&keywords=2020+connector&qid=1628225861&s=industrial&sr=1-14,12,12,,3,1137307
uxcell R28 15mm x 20mm (InnerHInnerW) Black Plastic Wire Carrier Cable Drag Chain 1M Length for CNC,Amazon,B01LYMQJ57,15mm x 20mm,3,1,3,https://www.amazon.com/dp/B07QYM8XQ7/ref=sspa_dk_detail_0?psc=1p13NParams&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExNDI5SVQ3QlRIVTBMJmVuY3J5cHRlZElkPUEwMDYyNDg4MkY4TTFBQVVTS1RTUCZlbmNyeXB0ZWRBZElkPUEwODY0NTgxMlRKTFhWSkZLOUcxUyZ3aWRnZXROYW1lPXNwX2RldGFpbDImYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,15,45,,5,1137307
e stop switch,digikey,B07BCY7HGN,1,1,1,1,https://www.digikey.com/en/products/detail/honeywell-sensing-and-productivity-solutions/87941-08/1162811?utm_adgroup=Switches&utm_source=google&utm_medium=cpc&utm_campaign=Dynamic%20Search_EN_RLSA&utm_term=&utm_content=Switches&gclid=CjwKCAjwj6SEBhAOEiwAvFRuKO71-bOl5NmDNuSVL2N4zK7H5_-DABtJ12EqM6zMOA2bdJCgGVwsyRoCPIYQAvD_BwE,120,120,,3,1137307
wire snips,amazon,,,1,5,0.2,https://www.amazon.com/dp/B085VMP7PB/ref=cm_sw_r_cp_apa_fabc_JF0B02DJYE18PN2YY4ZX,,0,,,
spade crimp terminals,amazon,,,33,100,0.333,https://www.amazon.com/Uxcell-a14010700ux0184-Female-Terminal-Connectors/dp/B00LUS4ENU,,0,,,
mini screws,grainger,,,20,100,0.2,https://www.grainger.com/product/GRAINGER-APPROVED-Wood-Screw-1LA94,,0,,,
,,,,,,,,,0,,,
,,,,,,,,,0,,,
,,,,,,,,,0,,,
Other,,,,,,,,,0,,,
KOOTANS 100 Pcs 2020 Series M4 Thread T Slide Nuts Hammer Drop in Nut for 20 Aluminum Extrusion Profile with T Slot 6mm,Amazon,B07PMM7C44,6mm,2,,, ,,0,,10,1137307
22 awg Silicone Electrical wire Cable 5 Colors (26.3ft each) 22 gauge HookUp wires electronics kit stranded Tinned Copper wire Flexible and soft for DIY,Amazon,B07G7W7G4T,,2,,,https://www.amazon.com/Silicone-Electrical-electronics-stranded-Flexible/dp/B07G7W7G4T,,0,,10,1137307
"3d Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK ",Amazon,B07T6WLFML,N/A,1,,,https://www.amazon.com/AmazonBasics-Printer-Filament-1-75mm-Black/dp/B07T6WLFML/ref=sr_1_1_sspa?dchild=1&keywords=black+pla&qid=1628226184&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzQzA2WDhQOUM4WlNDJmVuY3J5cHRlZElkPUEwMjY4MjMwQUwyQVBGTTE0NTMxJmVuY3J5cHRlZEFkSWQ9QTAwMTg3NDAzOEROSzlWMzlONEM5JndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,21,21,,5,1137307
"XHF 6mm(Wrapping Range:4mm-50mm) Spiral Cable Wrap 1/4"" Spiral Wire Wrap Cord for Computer Electrical Wire Organizer Sleeve Hose RoHS Black (Dia 6MM-Length 15M)",Amazon,B07JQ1QHVF,N/A,1,,,https://www.amazon.com/XHF2018-Organizer-Polyethylene-%EF%BC%88Black%EF%BC%89-6MM-Length15M/dp/B07JQ1QHVF/ref=sr_1_1_sspa?dchild=1&keywords=6mm+wire+wrap+21m&qid=1596744748&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzR01URDdTNzZBVVBOJmVuY3J5cHRlZElkPUEwODI2MDA1MktZVTlVNUZBU05YNyZlbmNyeXB0ZWRBZElkPUEwNjM3OTA0MVQzRkE5TjFJVU1FVyZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,7,7,,5,1137307
manufacturing wormbot pillar fpd,Front Panel Express,,10mm,1,,,invoice,446,446,Jason to Order,,
Manufacturing of file: wormbot3.fpd,Front Panel Express,,10.0 mm,1,,,Invoice,80,80,Full; Jason to Order,,
,,,,,,,,1486.91,,,,
