Name,Vendor,Catalog Number,Size,Quantity in 1 WormBot,Quantity per package,fractional package per bot,Link,Notes,Amount Ordered,Order Number
heat sink,mouser,,,5,,,https://www.mouser.com/ProductDetail/Aavid/572802B00000G?qs=U%2FacTlguYxbj6AhYIs5asA%3D%3D,,,
2 point screw terminal,mouser,,,15,,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1725656/?qs=Ul7CXFMnlWWQeccayYbRmw==,,,
8 point screw terminal,mouser,,,4,,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1725711/?qs=W3wJikR1%252BS7n1cN8b%252BRI%2FQ%3D%3D,,,
3 position screw terminal,mouser,,,1,,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1725669?qs=A%2FKWGUWTCZjmkTL0Oe91ew%3D%3D,,,
heat shrink tube,mouser,,,1,,,https://www.mouser.com/ProductDetail/Qualtek/Q2-F-RK4-1-16-11-6IN-39?qs=f6iYHOF0qgRLREW66g%2FPwg%3D%3D,,,
dc power jack,mouser,,,1,,,https://www.mouser.com/ProductDetail/CUI-Devices/PJ-082BH?qs=WyjlAZoYn52P2Lo8hPB1tg%3D%3D,,,
SS relay,mouser,,,3,,,https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/AQY282EH?qs=2rFUEsTwVNyp%2FybG%2FpSbOQ%3D%3D,,,
e stop terminal,mouser,,,1,,,https://www.mouser.com/ProductDetail/CUI-Devices/TB009-508-02BE?qs=vLWxofP3U2wCFk5uCkWTkA%3D%3D,,,
40 pin terminal,mouser,,,5,,,https://www.mouser.com/ProductDetail/TE-Connectivity/9-146281-0?qs=g1eCW3XhYQIsZIptNyGTEA%3D%3D,,,
5v regu,mouser,,,1,,,https://www.mouser.com/ProductDetail/STMicroelectronics/L7805CV-DG?qs=T%2FOtf55vL7c3O0as9P9fAw%3D%3D,,,
100ohm 1w resistor,mouser,,,4,,,https://www.mouser.com/ProductDetail/YAGEO/RSF100JT-73-100R?qs=sGAEpiMZZMtlubZbdhIBICpsWpAXTDjZQh1H2nSEJDk%3D,,,
2k ohm resistor 1/4 watt,mouser,,,3,,,https://www.mouser.com/ProductDetail/YAGEO/MF0204FTE52-2R2?qs=sGAEpiMZZMsPqMdJzcrNwpNQGwoCT%252BWW7EjE6IzdN%252BA%3D,,,
47 ohm 1 watt resistor,mouser,,,4,,,https://www.mouser.com/ProductDetail/YAGEO/RSF100JB-73-47R?qs=sGAEpiMZZMtlubZbdhIBINt%2Ft6Hry3%2FBzWR9WabZOxY%3D,,,
,,,,,,,,,,
fluorescent parts,,,,,,,,,,
fluor filter holder,edmund optical,,,1,,,https://www.edmundoptics.com/p/m255-x-05-mount-for-25mm-diameter-filters/20318/,,,
custom led chip,ledsupply.com,,,1,,,https://www.ledsupply.com/leds/custom-3-up-cree-high-power-led,"3-up cree: pc amber-xp e2, blue-xp e2, UV 400-410nm, no jumpers addressable",,
triple band excitation filter,chroma,,,1,,,https://www.chroma.com/products/parts/69002x,,,
dual band emission filter,chroma,,,1,,,https://www.chroma.com/products/parts/59009m,,,
narrow lens,ledsupply.com,,,1,,,https://www.ledsupply.com/led-optics/10507-carclo-lens-3-up-narrow-spot-led-optic,,,
,,,,,,,,,,
,,,,,,,,,,
camera,,,,,,,,,,
brightfield only,amazon,,,1,,,https://www.amazon.com/MOKOSE-Camera-Varifocal-Compatible-Windows/dp/B0814VFG12/ref=psdc_172511_t2_B089JYLFG1?th=1,,,
,,,,,,,,,,
fluor camera,edmund optical,,,1,,,https://www.edmundoptics.com/p/basler-ace-aca4600-10uc-color-usb-30-camera/32436/,,,
fluor lens,edmund optical,,,1,,,https://www.edmundoptics.com/p/25mm-c-series-fixed-focal-length-lens/16528/,,,
,,,,,,,,,,
,,,,,,,,,,
Plastic/Screws,,,,,,,,,,
20mm X 20mm T-Slotted Profile - Four Open T-Slots,80/20 Inc,20-2020,320mm,1,,,https://8020.net/20-2020.html,Mini top cross brace,,1140888
20mm X 20mm T-Slotted Profile - Four Open T-Slots,80/20 Inc,20-2020,200mm,1,,,,,,
20mm X 20mm T-Slotted Profile - Four Open T-Slots,80/20 Inc,20-2020,152mm,5,,,https://8020.net/20-2020.html,Mini legs,,1140888
20mm X 20mm T-Slotted Profile - Four Open T-Slots,80/20 Inc,20-2020,279mm,2,,,https://8020.net/20-2020.html,Mini bottom cross beams,,1140888
20mm X 20mm T-Slotted Profile - Four Open T-Slots,80/20 Inc,20-2020,425mm,2,,,https://8020.net/20-2020.html,Mini sides base,,1140888
20mm X 20mm T-Slotted Profile - Four Open T-Slots,80/20 Inc,20-2020,25mm,4,,,https://8020.net/20-2020.html,Mini spacers,,1140888
Chemcast Cast Acrylic Sheets,TAP Plastics,,9mm x 320mm x 320mm,1,,,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/acrylic_sheets_cast_clear/510 ,Can we order to Front Panel Express directly?,,
#REF!,McMaster-Carr,6432K73,"5/32"" Diameter",8,,,https://www.mcmaster.com/6432K73,,,S2798790
m6 washers,McMaster-Carr,,m6 washers,100,,,,,,S2798790
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A189,m4 8mm,100,100,,https://www.mcmaster.com/screws/rounded-head-screws/thread-size~m4/hex-drive-rounded-head-screws/,Button Head Screws,,S2798790
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A190,M4 10mm,100,100,,,,,S2798790
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A192,m4 12mm,100,100,,https://www.mcmaster.com/screws/rounded-head-screws/thread-size~m4/hex-drive-rounded-head-screws/,Button Head Screws,,S2798790
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A194,m4 16mm,100,100,,https://www.mcmaster.com/screws/rounded-head-screws/thread-size~m4/hex-drive-rounded-head-screws/,Button Head Screws,,S2798790
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A196,m4 20mm,100,100,,https://www.mcmaster.com/screws/rounded-head-screws/thread-size~m4/hex-drive-rounded-head-screws/,Button Head Screws,,S2798790
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A197,M4 25mm,100,100,,https://www.mcmaster.com/screws/rounded-head-screws/thread-size~m4/hex-drive-rounded-head-screws/,,,S2798790
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A198,m4 30mm,100,100,,https://www.mcmaster.com/screws/rounded-head-screws/thread-size~m4/hex-drive-rounded-head-screws/,Button Head Screws,,S2798790
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A205,m4 45mm,100,100,,https://www.mcmaster.com/screws/rounded-head-screws/thread-size~m4/hex-drive-rounded-head-screws/,Button Head Screws,,S2798790
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A179,m3 6mm,,100,,https://www.mcmaster.com/screws/rounded-head-screws/hex-drive-rounded-head-screws/thread-size~m3/,,,
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A182,m3 10mm,,100,,https://www.mcmaster.com/screws/rounded-head-screws/hex-drive-rounded-head-screws/thread-size~m3/,,,
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A104,m2 10mm,,50,,https://www.mcmaster.com/screws/rounded-head-screws/hex-drive-rounded-head-screws/thread-size~m2/,,,
Metric 18-8 Stainless Steel Button Head Hex Drive Screws,McMaster-Carr,92095A106,m2 20mm,,25,,https://www.mcmaster.com/screws/rounded-head-screws/hex-drive-rounded-head-screws/thread-size~m2/,,,
Metric 18-8 Stainless Steel Hex Nuts,McMaster-Carr,91828A231,M4-.7 x 7 x 3.2mm,100,,,https://www.mcmaster.com/catalog/126/3380,,,S2798790
18-8 Stainless Steel Nylon-Insert Locknutes,McMaster-Carr,93625A150,M4-.7 x 7 x 5mm,100,,,https://www.mcmaster.com/catalog/126/3391,Button Head Screws,,S2798790
Wiring Cowl,UW Sheet Metal Shop,,,1,,,,$150-200; Jason will order,,
3 inch  (5/32 inch) rod,Speedy Metals,,,2,,,https://www.speedymetals.com/p-1085-532-rd-303-stainless-steel-cold-finished-annealed.aspx,,,1142785
"1/8"" x 1 1/4"" Dowel Pin Hardened and Ground Alloy Steel Bright Finish Pk 100",Amazon,B07CVMRYLH,Pack of 100,0.5,,,https://www.amazon.com/Dowel-Hardened-Ground-Bright-Finish/dp/B07CVMRYLH,,,1137307
"2020 Series Aluminum Profile Connector Set, 20pcs Corner Bracket",Amazon,B07P9H8FW1,Assorted,1,,,https://www.amazon.com/KOOTANS-Accessories-Brackets-Connector-Aluminum/dp/B07P9H8FW1/ref=sr_1_14?dchild=1&keywords=2020+connector&qid=1628225861&s=industrial&sr=1-14,,,1137307
uxcell R28 15mm x 20mm (InnerHInnerW) Black Plastic Wire Carrier Cable Drag Chain 1M Length for CNC,Amazon,B01LYMQJ57,15mm x 20mm,2,,,https://www.amazon.com/Black-Plastic-Chain-Carrier-Router/dp/B01LYMQJ57/,,,1137307
e stop switch,digikey,B07BCY7HGN,1,1,,,https://www.digikey.com/en/products/detail/honeywell-sensing-and-productivity-solutions/87941-08/1162811?utm_adgroup=Switches&utm_source=google&utm_medium=cpc&utm_campaign=Dynamic%20Search_EN_RLSA&utm_term=&utm_content=Switches&gclid=CjwKCAjwj6SEBhAOEiwAvFRuKO71-bOl5NmDNuSVL2N4zK7H5_-DABtJ12EqM6zMOA2bdJCgGVwsyRoCPIYQAvD_BwE,,,1137307
